time,T_core0,IPC_core0,F_core0,P_core0,Energy_Per_Instruction_core0,Cdyn_core0
203950353100000,40.00745299238658,1.8108324279747003,1.0,1.10296479687242,2.5330690498986527e-10,1.163847801665228e-09
203952355702000,40.03049016457666,2.071803043752899,1.0,1.0458882520240993,5.059320654669775e-10,1.3323013318714225e-09
203954359736000,40.051647265003886,2.0398502658478552,1.0,1.0974443327072134,5.378950215644745e-10,1.398873522541734e-09
203956368644999,40.06916718950236,1.5349525215904976,1.0,0.7686430548094217,5.022316246548785e-10,9.742823361583058e-10
203958372941999,40.084926873939125,1.9530222943539601,1.0,0.9806370136346721,5.057039268760865e-10,1.2480323810471316e-09
203960373471000,40.10307174017255,1.9134959162340446,1.0,0.9530687233812762,4.994385858674836e-10,1.2124299686420128e-09
203962376450999,40.12095887734113,1.9395267879501834,1.0,0.9700212160217758,5.008103462978856e-10,1.2343182738911836e-09
203964377469500,40.1403227357228,2.040810953612696,2.5,1.319073341503685,5.223800767211404e-10,1.290719957724649e-09
203966377872000,40.22771198000856,2.0680113525497474,4.0,7.620249074057038,9.214274413701896e-10,1.3065366443647997e-09
203968379397999,40.37603559892363,2.0333699681446094,4.0,7.4221997726974935,9.129906478026615e-10,1.272148731167794e-09
203970379725748,40.52224165095279,2.0391391006106048,4.0,7.488559402017782,9.186909362720797e-10,1.2836651643611782e-09
203972380007500,40.671153638782044,2.054725318222086,4.0,7.586467251302871,9.236487294530662e-10,1.3006585936191078e-09
203974380798500,40.81756043797104,2.0091591492107455,4.0,7.3870726034663,9.20597247185259e-10,1.2660370364186642e-09
203976380960750,40.9634827939266,2.0689951382078964,4.0,7.526890343908149,9.100219612746439e-10,1.2903064883347435e-09
203978381973750,41.111301034878984,2.0696091330534974,4.0,7.458792547076406,9.014767577658073e-10,1.2784793890370715e-09
203980382090000,41.26030688364745,2.0728189502912846,4.0,7.443147566242656,8.981865896834925e-10,1.2757585973446881e-09
203982383161000,41.40430594087398,2.0735662513507447,4.0,7.215875935111407,8.702914616006828e-10,1.2362971783678842e-09
203984383763750,41.54796981512439,2.02583028029997,4.0,7.4507737214477805,9.206524136626569e-10,1.2770734709474384e-09
203986383993250,41.69478808743377,2.0366104052419396,4.0,7.503048020269015,9.251149034285979e-10,1.2861441493259722e-09
203988384834749,41.83968536464318,2.035037749085997,4.0,7.372504248225408,9.065684953410061e-10,1.2634755939659911e-09
203990385863500,41.9840228846165,2.0281793700076785,4.0,7.403285294917208,9.138135204670025e-10,1.2688147908282648e-09
203992386736750,42.12685069983922,2.0132895162962354,4.0,7.3946402772684845,9.195677432005924e-10,1.2673091877557913e-09
203994386829500,42.271762038657684,2.0562600348009026,4.0,7.521380797806129,9.154551325279287e-10,1.2893079012960271e-09
203996386969500,42.41843364884714,2.068012058517088,4.0,7.557108309535664,9.14814546167715e-10,1.2955056368091814e-09
203998388137250,42.56484796348521,2.0386387308527927,4.0,7.457830918536949,9.207474821044339e-10,1.2782649797157679e-09
204000389010749,42.70578857207706,1.9821261474940135,4.0,7.372452440752712,9.470559792178601e-10,1.263437467393115e-09
204002389954499,42.847966586239906,2.006588960258571,4.0,7.5576292666612,9.462251742437485e-10,1.2955812708646213e-09
204004391126250,42.99267040687348,2.057016433304774,4.0,7.484546289474122,9.117974641158169e-10,1.282888164887833e-09
204006391838750,43.13379601948006,1.9878208527859316,4.0,7.217065205307865,9.109265122070716e-10,1.2364454646512284e-09
204008392198750,43.27512598931103,2.0660669689037245,4.0,7.573783530973206,9.182692636502798e-10,1.2983706604481168e-09
204010393022250,43.424551444234346,2.076345180287802,4.0,7.658909677942064,9.234046595885373e-10,1.3131440922574515e-09
204012395936999,43.569325172231636,2.0394640197440568,4.0,7.514517338557161,9.231183278830832e-10,1.2880706800319304e-09
204014396377500,43.7097252877071,2.0512359165132588,4.0,7.560053650039845,9.261194048030032e-10,1.2959711007582861e-09
204016396393250,43.85742869421997,2.0840014900982946,4.0,7.756364717618184,9.304952839969815e-10,1.3300473697314538e-09
204018397265500,44.01018695264477,2.081753818618168,4.0,7.746621121221761,9.303645635735746e-10,1.3283500117807173e-09
204020397900000,44.162487907316496,2.0808778990907264,4.0,7.732773641615162,9.291737731420434e-10,1.325940130579644e-09
204022397931000,44.31489420991197,2.0836424867409775,4.0,7.754222374553345,9.304015088474735e-10,1.3296579986178128e-09
204024398532500,44.46723249788713,2.0799786879916744,4.0,7.73441672880792,9.29752909018109e-10,1.3262135887782354e-09
204026398933250,44.61906054076875,2.084002000485989,4.0,7.709409994712062,9.250768867609399e-10,1.3218661697297229e-09
204028399821750,44.77102304147943,2.08431560032867,4.0,7.755771125564773,9.302779212802571e-10,1.329908936693185e-09
204030400535250,44.92288867081733,2.0811530979711033,4.0,7.7238221197892845,9.28074685622116e-10,1.32435613411687e-09
204032401000999,45.07336129597222,2.069806234486867,4.0,7.733142525314692,9.34443309970375e-10,1.325968152565783e-09
204034401193750,45.21613616976957,2.0289356685586974,4.0,7.531674886734138,9.308283496768368e-10,1.2909852782948114e-09
204036401795750,45.35377031085352,2.0386829380660547,4.0,7.467045823067104,9.176542432158319e-10,1.2797592564834835e-09
204038402694250,45.49493464243785,2.056941699984895,4.0,7.527340120344067,9.163278417575335e-10,1.2902211153926945e-09
204040403696250,45.640884968275294,2.0566194681567764,4.0,7.583688356146245,9.262738072106518e-10,1.2999976335509534e-09
204042405763750,45.74590465641008,0.9093927075043412,4.0,3.4037702611750946,1.9438249918788375e-07,5.74312936803555e-10
